# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1977
#@/user_id	myrimedata-windows
a 	啊	c=11 d=3.91031 t=1721
a a 	啊啊	c=2 d=0.923315 t=1721
a a a 	啊啊啊	c=0 d=0.176479 t=1721
a a a a 	啊啊啊啊	c=0 d=0.435094 t=1721
a a a a a wa a a sa sa dan wei de dao 	啊啊啊啊阿佤啊啊灑灑單位得到	c=1 d=0.286505 t=1721
a a a a da wa wu wu wu wa wa a a a a a a a a a a a a a a a a da wa da da de wa ren a a a a a a a a wa wu wu wu ding ding ding ding da da a wa qi qi ai ai a a a a dui wo shuo sheng sheng shi shi sa dan wei qu qi a da wa wu wu wu wa wa de da sa wa da wu wu wu wu wu wu wu wu wu wu wu wu wei sa wa dang wen 	啊啊啊啊大窪嗚嗚嗚娃娃啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊大窪大大的蛙人啊啊啊啊啊啊啊阿佤嗚嗚嗚頂頂頂頂大大阿佤期期艾艾啊啊啊啊對我說生生世世撒旦未娶妻啊大窪嗚嗚嗚哇哇地搭撒挖大嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚維薩瓦當文	c=1 d=0.377192 t=1721
a a a a wei 	啊啊啊啊爲	c=1 d=0.459267 t=1721
a a da wa da wa 	啊啊大窪大窪	c=1 d=0.396531 t=1721
a da 	阿達	c=1 d=0.661535 t=1721
a da da de da su da a a ai ren wa 	啊大大的大蘇打啊啊愛人瓦	c=1 d=0.421052 t=1721
a da min lo gei 	阿達民咯給	c=1 d=0.04573 t=1721
a da wu ren dao da an da she wan 	阿達無人島答案大蛇丸	c=1 d=0.444858 t=1721
a di da si 	阿迪達斯	c=0 d=0.0313486 t=1721
a di di da da da da wei da an de sen da ren ai ao wa dang shi wu di de 	啊滴滴答答大大偉大安德森大人艾奧瓦當世無敵的	c=1 d=0.298197 t=1721
a du wu 	阿堵物	c=0 d=0.14111 t=1721
a du wu ding ding ding ding ding ding ding ding ren wei guang wu ran 	阿堵物頂頂頂頂頂頂頂頂認爲光污染	c=1 d=0.324652 t=1721
a ke su 	阿克蘇	c=0 d=0.083527 t=1721
a li 	阿里	c=0 d=0.083527 t=1721
a li shan da 	阿歷山大	c=0 d=0.083527 t=1721
a sa sa wa ran a da da wei de 	啊灑灑窪然阿達大威德	c=1 d=0.423162 t=1721
a sen song dao 	阿森松島	c=0 d=0.083527 t=1721
a si dun 	阿斯頓	c=3 d=0.329563 t=1721
a wa 	阿佤	c=1 d=0.633101 t=1721
a wa qi qian da duo shu ding ding ding ding ding ding ding ding ding ding ding ding di deng dong wu 	阿佤七千大多數頂頂頂頂頂頂頂頂頂頂頂頂低等動物	c=1 d=0.323033 t=1721
a wa qing qi bing 	阿佤輕騎兵	c=1 d=0.429557 t=1721
a wa wu wu wu 	阿佤嗚嗚嗚	c=1 d=0.547983 t=1721
a wa wu wu wu wa an quan da da de wa a a a a qi a wa wa da 	阿佤嗚嗚嗚瓦安全大大的瓦啊啊啊啊其阿佤挖大	c=1 d=0.357007 t=1721
a wa wu wu wu wei qu qi ding ding ding ding da da de di di da da 	阿佤嗚嗚嗚未娶妻頂頂頂頂大大的滴滴答答	c=1 d=0.362402 t=1721
a wa wu wu wu wu wu wu wa da 	阿佤嗚嗚嗚嗚嗚嗚挖大	c=1 d=0.460704 t=1721
ai ao wa 	艾奧瓦	c=0 d=0.0930018 t=1721
ai dao de 	挨刀的	c=0 d=0.165764 t=1721
ai di 	艾迪	c=0 d=0.0843665 t=1721
ai di sheng 	愛迪生	c=1 d=0.927188 t=1721
ai qiang qian wu 	矮牆淺屋	c=0 d=0.0329559 t=1721
ai qiang qian wu qi qi qie qie ai dao de wu wu wu qi qian a si dun wa de dao ding ding ding ding ding ding ding ding diao wa dai wa de dao qi qian wo bing bu 	矮牆淺屋悽悽切切挨刀的嗚嗚嗚七千阿斯頓挖地道頂頂頂頂頂頂頂頂吊襪帶挖地道七千我並不	c=1 d=0.331211 t=1721
ai ren 	愛人	c=0 d=0.0418952 t=1721
ai si 	愛死	c=0 d=0.0843665 t=1721
ai wo wo 	艾窩窩	c=1 d=0.346456 t=1721
ai ya 	哎呀	c=2 d=1.35074 t=1721
an a ding 	氨吖啶	c=0 d=0.114814 t=1721
an an 	暗暗	c=0 d=0.0298197 t=1721
an an ai dao de da wa a a a a a a a a a a a da wa ding ding ding ding ding ding ding ding ding ding ding ding wa da a wa ding ding ding ding da da da wa a a a a a a a a an a ding wu di dong wa de dao ding ding ding ding ding ding ding ding ding ding ding ding dan da ru dou bu 	暗暗挨刀的大窪啊啊啊啊啊啊啊啊啊啊啊大窪頂頂頂頂頂頂頂頂頂頂頂頂挖大阿佤頂頂頂頂大大大窪啊啊啊啊啊啊啊啊氨吖啶無底洞挖地道頂頂頂頂頂頂頂頂頂頂頂頂膽大如斗不	c=1 d=0.299692 t=1721
an de sen 	安德森	c=0 d=0.029671 t=1721
an de si shan 	安地斯山	c=1 d=0.318224 t=1721
an ding qi 	安定器	c=0 d=0.0318224 t=1721
an pai 	安排	c=1 d=0.603506 t=1721
an quan 	安全	c=1 d=0.395524 t=1721
an zhuang 	安裝	c=1 d=0.283654 t=1721
an zhuang hao 	安裝好	c=1 d=0.114178 t=1721
ba 	吧	c=12 d=2.39341 t=1721
ba 	把	c=3 d=0.970446 t=1721
ban ben 	版本	c=3 d=1.20881 t=1721
ban tian 	半天	c=2 d=0.971321 t=1721
bang mang 	幫忙	c=1 d=0.0450492 t=1721
bang zhu 	幫助	c=2 d=0.291246 t=1721
bao 	包	c=3 d=1.17375 t=1721
bao kuo 	包括	c=0 d=0.0071719 t=1721
bei 	被	c=3 d=1.04874 t=1721
bei fen 	備份	c=3 d=0.962224 t=1721
ben 	本	c=1 d=0.110251 t=1721
bi jiao 	比較	c=1 d=0.287941 t=1721
bi xu 	必須	c=1 d=0.600496 t=1721
bian 	邊	c=1 d=0.283654 t=1721
bian ji qi 	編輯器	c=2 d=0.24958 t=1721
bian ma 	編碼	c=1 d=0.18452 t=1721
bian xie 	邊寫	c=1 d=0.280832 t=1721
biao 	表	c=2 d=0.314043 t=1721
biao ti 	標題	c=1 d=0.678189 t=1721
bie 	別	c=2 d=1.865 t=1721
bing 	並	c=2 d=0.426188 t=1721
bing bao 	冰雹	c=1 d=0.666976 t=1721
bu 	不	c=7 d=2.48449 t=1721
bu bao kuo 	不包括	c=1 d=0.0720785 t=1721
bu cuo 	不錯	c=1 d=0.923116 t=1721
bu fang 	不妨	c=1 d=0.0374406 t=1721
bu fen 	部分	c=1 d=0.0605068 t=1721
bu guo 	不過	c=1 d=0.856415 t=1721
bu hao 	不好	c=0 d=0.0826959 t=1721
bu neng 	不能	c=3 d=0.970446 t=1721
bu shi 	不是	c=1 d=0.182684 t=1721
bu shu 	部署	c=1 d=0.0361528 t=1721
bu tai 	不太	c=1 d=0.278037 t=1721
bu xia 	不下	c=0 d=0.0790571 t=1721
bu xia ni shi 	不下你是	c=1 d=0.794533 t=1721
bu xian shi 	不顯示	c=2 d=0.0425261 t=1721
bu ying gai 	不應該	c=1 d=0.522046 t=1721
bu yong 	不用	c=1 d=0.869358 t=1721
